time(ns),loop_time(hz),system_state,delta_time(s),sd_capacity(bytes),r_voltage,f_voltage,clockspeed(hz),internal_temp(°C),bmp_pres(atm),bmp_temp(°C),bmi_temp(°C),rax(m/s^2),ray(m/s^2),raz(m/s^2),wfax(m/s^2),wfay(m/s^2),wfaz(m/s^2),velx(m/s),vely(m/s),velz(m/s),posx(m),posy(m),posz(m),rgx(rad/s),rgy(rad/s),rgz(rad/s),ori_x(deg),ori_y(deg),ori_z(deg),q_w,q_x,q_y,q_z,rmagx(uT),rmagy(uT),rmagz(uT),fmagx(uT),fmagy(uT),fmagz(uT),rTDS,fTDS,r_ext_pres,f_ext_pres,r_ext_temp,f_ext_temp,dive_limit,dive_homed,dive_current_position,dive_current_position_mm,dive_target_position,dive_target_position_mm,dive_speed,dive_acceleration,dive_maxspeed,pitch_limit,pitch_homed,pitch_current_position,pitch_current_position_mm,pitch_target_position,pitch_target_position_mm,pitch_speed,pitch_acceleration,pitch_maxspeed,cap_time(ms),save_time(ms),fifo_length(bytes)
10906975051,72621,3,1.377e-05,936695,4.679951951,0.002574021,528000000,35.39603806,0.800608113,20.95048804,29.25,0.208295548,-0.893336509,-10.02332542,4.922387952,8.44383039,12.21072895,0.026772199,0.044442438,0.065712984,8.0328e-05,0.000132378,0.000196947,0.034571549,-0.006306558,-0.005132068,0.028625386,359.9747368,180.0517331,0.27659878,0.704010092,0.366067726,-0.542086087,163.9779211,-422.1672827,-262.6940405,0.090189518,-0.232196283,-0.144484384,16.38744609,0.009013261,1.51823002,0.000835042,54.34372747,0.029889601,false,false,1,0.002223684,76000,169,135.0400785,6000,7000,false,false,0,0,0,0,0,0,0,0,0,0,
10911107907,72490,3,1.3795e-05,936695,4.679951951,0.002574021,528000000,35.39603806,0.800608113,20.95048804,29.25,0.179565127,-0.960673432,-10.0403841,4.744185879,8.61398071,12.05516375,0.046496779,0.079427714,0.115391685,0.000234261,0.000392405,0.000577294,0.041762303,0.002215818,0.002325011,0.050471862,359.9552056,180.092084,0.283757356,0.694459735,0.371222294,-0.547175884,163.9779211,-422.1672827,-262.6940405,0.090189518,-0.232196283,-0.144484384,16.38744609,0.009013261,1.51823002,0.000835042,54.34372747,0.029889601,false,false,2,0.004447368,76000,169,173.622958,6000,7000,false,false,0,0,0,0,0,0,0,0,0,0,
10915253676,72411,3,1.381e-05,936695,4.699290595,0.015029644,528000000,35.39603806,0.800608113,20.95048804,29.25,0.161608615,-0.949899524,-10.02781454,4.636588086,8.696056402,11.89603267,0.065846337,0.114928882,0.164633402,0.000469109,0.000798644,0.001162601,0.050417841,-0.002844343,-0.007928472,0.075422548,359.9373781,180.1322949,0.289827118,0.685851797,0.37530348,-0.552046059,163.9779211,-422.1672827,-262.6940405,0.090189518,-0.232196283,-0.144484384,16.30381864,0.052427111,2.513310742,0.006189644,43.43388505,0.159730032,false,false,3,0.006671053,76000,169,205.1907686,6000,7000,false,false,0,0,0,0,0,0,0,0,0,0,
10919328132,70937,3,1.4097e-05,936695,4.699290595,0.015029644,528000000,35.39603806,0.800608113,20.95048804,29.25,0.184952081,-0.98581255,-10.00626673,4.481215195,8.80396288,11.68808367,0.084202405,0.15027736,0.212147566,0.000775682,0.0013404,0.001932352,0.060138675,-0.000846911,-0.001936177,0.100040243,359.9189638,180.1726264,0.29652653,0.677073275,0.378982931,-0.556790567,163.9779211,-422.1672827,-262.6940405,0.090189518,-0.232196283,-0.144484384,16.30381864,0.052427111,2.513310742,0.006189644,43.43388505,0.159730032,false,false,3,0.006671053,76000,169,205.1907686,6000,7000,false,false,0,0,0,0,0,0,0,0,0,0,
10924078145,72579,3,1.3778e-05,936695,4.699290595,0.02746113,528000000,35.39603806,0.800608113,20.95048804,29.25,0.210989025,-1.052251647,-10.071808,4.327962785,9.008788224,11.45074468,0.105060158,0.192183756,0.266715666,0.001226641,0.002156436,0.00307355,0.05667646,-0.007505017,-0.001004042,0.129337034,359.8963047,180.2192934,0.304753345,0.666789196,0.382208621,-0.562524787,163.9779211,-422.1672827,-262.6940405,0.090189518,-0.232196283,-0.144484384,16.23415881,0.095463989,2.864515703,0.013309282,39.16162471,0.268905588,false,false,4,0.008894737,76000,169,232.5495377,6000,7000,false,false,0,0,0,0,0,0,0,0,0,0,
10928216890,72458,3,1.3801e-05,936695,4.699290595,0.02746113,528000000,35.39603806,0.800608113,20.95048804,29.25,0.202908594,-1.018134273,-10.02601889,4.198287203,9.049435554,11.24904154,0.122458214,0.229151752,0.313215788,0.00169625,0.003026686,0.004270875,0.0516163,-0.001779046,-0.00087088,0.15346012,359.8763235,180.2599928,0.312848273,0.657661691,0.384886306,-0.566982883,163.9779211,-422.1672827,-262.6940405,0.090189518,-0.232196283,-0.144484384,16.23415881,0.095463989,2.864515703,0.013309282,39.16162471,0.268905588,false,false,5,0.011118421,76000,169,257.0284364,6000,7000,false,false,0,0,0,0,0,0,0,0,0,0,
10932293791,70881,3,1.4108e-05,936695,4.660613306,0.039817049,528000000,35.39603806,0.800608113,20.95048804,29.25,0.219967281,-1.019929924,-10.03140585,4.065553661,9.14751351,11.036141,0.139170379,0.265742696,0.358238271,0.002227798,0.004032686,0.005635275,0.046955626,-0.00390964,-7.1908e-05,0.176967496,359.8568109,180.2995475,0.321051506,0.648896292,0.387020145,-0.571029719,163.9779211,-422.1672827,-262.6940405,0.090189518,-0.232196283,-0.144484384,13.50051962,0.134694606,3.091335573,0.021182604,36.85732533,0.369135641,false,false,6,0.013342105,76000,169,279.3787353,6000,7000,false,false,0,0,0,0,0,0,0,0,0,0,
10937114202,72516,3,1.379e-05,936695,4.660613306,0.039817049,528000000,35.39603806,0.800608113,20.95048804,29.25,0.173280348,-1.024419052,-10.05026018,3.902656971,9.261165014,10.8492283,0.158240746,0.309738365,0.410608199,0.002943267,0.005417898,0.007485082,0.054679029,-0.006040234,-0.002601988,0.205409527,359.8335496,180.3471347,0.331235243,0.638612079,0.389038581,-0.575418811,163.9779211,-422.1672827,-262.6940405,0.090189518,-0.232196283,-0.144484384,13.50051962,0.134694606,3.091335573,0.021182604,36.85732533,0.369135641,false,false,8,0.017789474,76000,169,319.4330342,6000,7000,false,false,0,0,0,0,0,0,0,0,0,0,
10941251859,72595,3,1.3775e-05,936695,4.660613306,0.039817049,528000000,35.39603806,0.800608113,20.95048804,29.25,0.260369435,-1.107916837,-10.02332542,3.663956664,9.3683571,10.56256337,0.173733598,0.347887111,0.454412448,0.003626502,0.006771939,0.009265517,0.045490842,0.000884196,-0.001669853,0.228146024,359.8138987,180.3871218,0.340521223,0.629923082,0.390597378,-0.578511794,163.9779211,-422.1672827,-262.6940405,0.090189518,-0.232196283,-0.144484384,13.50051962,0.134694606,3.091335573,0.021182604,36.85732533,0.369135641,false,false,9,0.020013158,76000,169,337.6863505,6000,7000,false,false,0,0,0,0,0,0,0,0,0,0,
10945320704,71012,3,1.4082e-05,936695,4.641274662,0.052026706,528000000,35.39603806,0.800608113,20.95048804,29.25,0.181360779,-1.071105985,-10.05205584,3.517867955,9.456449909,10.45776572,0.188307228,0.385813178,0.496940972,0.004359338,0.008258456,0.011191818,0.042028627,0.001550007,-0.006863176,0.248822169,359.7956027,180.4283759,0.35074168,0.621109412,0.393086048,-0.580247129,163.9779211,-422.1672827,-262.6940405,0.090189518,-0.232196283,-0.144484384,13.45051278,0.170019346,3.237670973,0.029505704,35.7876669,0.464335409,false,false,10,0.022236842,76000,169,355.0035992,6000,7000,false,false,0,0,0,0,0,0,0,0,0,0,
